aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
 ,경희궁자이(3단지),11110-2446,0233,0000,2017,개인, , ,"235,000",20,9,2025,중개거래,서울 종로구,84.8359,1,233,1,N, ,경교장길,00035,00000,4100002,01,11110, ,11110,개인,17700,평동
 ,경희궁자이(3단지),11110-2446,0233,0000,2017,개인, , ,"325,000",20,9,2025,중개거래,서울 종로구,116.9383,8,233,1,N, ,경교장길,00035,00000,4100002,01,11110, ,11110,개인,17700,평동
 ,종로동광모닝스카이,11110-2343,1421,0001,2013,개인, , ,"10,680",13,9,2025,중개거래,서울 종로구,15.855,12,1421-1,1,N,25.09.29,난계로29가길,00024,00000,4100029,01,11110,0,11110,개인,17500,숭인동
102동,경희궁롯데캐슬,11110-2519,0089,0000,2019,개인, , ,"147,000",20,9,2025,중개거래,서울 종로구,59.6737,4,89,1,N,25.12.18,통일로,00230,00000,3000008,00,11110,0,11110,개인,18700,무악동
109,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"134,500",20,9,2025,중개거래,서울 종로구,84.858,8,60,1,N,26.01.15,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
116,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"107,000",20,9,2025,중개거래,서울 종로구,59.993,1,60,1,N,26.01.12,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
101,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"139,800",20,9,2025,중개거래,"서울 용산구, 서울 종로구",84.858,13,60,1,N,25.12.29,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
 ,현대,11110-90,0082,0000,2000,개인, , ,"107,470",19,9,2025,중개거래,서울 종로구,60,10,82,1,N, ,통일로,00246,00009,3000008,06,11110,0,11110,개인,18700,무악동
112,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"138,000",5,9,2025,중개거래,서울 종로구,84.858,7,60,1,N,25.11.27,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
305,경희궁자이(3단지),11110-2446,0233,0000,2017,개인, , ,"219,000",16,9,2025,중개거래,"서울 강남구, 서울 마포구",59.8547,8,233,1,N,25.11.12,경교장길,00035,00000,4100002,01,11110, ,11110,개인,17700,평동
